the  la
matron  matrone
wearer  porteur
evasive  évasif
picky  difficile
abject  abject
accredit  accréditer
roving  itinérant
anglo-american  anglo-américain
orally  oralement
beret  béret
scrimmage  mêlée
categorically  catégoriquement
(terra)  (terre)
untested  non testé
emissary  émissaire
storied  étagé
well-documented  bien documenté
trove  trésor
cornstarch  fécule de maïs
first-person  première personne
decadent  décadent
rhino  rhinocéros
tinted  teinté
zulu  zoulou
peculiarity  particularité
cupcake  petit gâteau
calibration  étalonnage
suffrage  suffrage
libyan  libyen
posterity  postérité
liquidate  liquider
blanch  blanchir
bullish  haussier
demoralize  démoraliser
rumbling  grondement
umbilical  ombilical
beefy  costaud
whiz  sifflement
envisage  envisager
cappuccino  cappuccino
environs  environs
skinhead  skinhead
skit  sketch
monsoon  mousson
illiteracy  analphabétisme
holiness  sainteté
clover  trèfle
exorbitant  exorbitant
oppositional  oppositionnel
blue-eyed  aux yeux bleus
liberally  généreusement
obstetrician  obstétricien
rhubarb  rhubarbe
misrepresentation  fausse déclaration
bottomless  sans fond
geranium  géranium
radicalism  radicalisme
totem  totem
mitten  mitaine
rudder  gouvernail
baffling  déconcertant
frugal  frugal
pubic  pubien
stateroom  cabine
crossfire  feux croisés
destitute  dépourvu
intoxicate  enivrer
unsteady  instable
aztec  aztèque
all-white  tout blanc
(scouting)  (repérage)
armament  armement
mediocrity  médiocrité
otherworldly  d'un autre monde
identified  identifié
anaerobic  anaérobie
syphilis  syphilis
firestorm  tempête de feu
voracious  vorace
derailleur  dérailleur
user-friendly  convivial
remittance  remise
crescendo  crescendo
skitter  glisser
extricate  dégager
fruition  réalisation
equestrian  équestre
embolden  enhardir
decrepit  délabré
tearful  en larmes
grub  ver
laughable  ridicule
turn-of-the-century  tournant du siècle
jackpot  cagnotte
well-intentioned  bien intentionné
paneling  lambris
transcendental  transcendantal
dandy  dandy
seclusion  isolement
inverse  inverse
typology  typologie
moviegoer  amateur de cinéma
repent  se repentir
massively  massivement
expectant  dans l'attente
outrun  dépasser
quartz  quartz
big-city  grande ville
(panther)  (panthère)
enraged  furieux
leasing  location
eraser  la gomme
turtleneck  col roulé
released  publié
peddler  colporteur
redress  redresser
tangy  piquant
drive-in  drive-in
opulent  opulent
dimple  fossette
chastity  chasteté
southward  vers le sud
immobile  immobile
thunderous  tonitruant
woodpecker  pivert
amends  amende
croak  crever
peep  piaulement
motorcade  cortège
surmount  surmonter
mandated  mandaté
intergovernmental  intergouvernemental
projecting  en saillie
clenched  serré
sobriety  sobriété
cross-legged  en tailleur
immobilize  immobiliser
televise  téléviser
grandkid  petit-fils
heterogeneity  hétérogénéité
spotty  à pois
synthesizer  synthétiseur
executioner  bourreau
upload  télécharger
lowering  abaissement
unbridled  débridé
woolen  de laine
hesitantly  avec hésitation
feces  matières fécales
truckload  chargement complet
brooch  broche
summons  assignation
outgrowth  excroissance
keg  tonnelet
paucity  manque
artistically  artistiquement
hairdo  coiffure
(turbo)  (turbo)
revered  vénéré
ugliness  la laideur
standby  etre prêt
pop-up  apparaitre
meddle  se mêler
dud  raté
duplication  reproduction
foodborne  d'origine alimentaire
voodoo  vaudou
break-in  roder
four-hour  quatre heures
do-it-yourself  fais le toi-même
lacy  de dentelle
carp  carpe
eloquence  éloquence
bewilderment  perplexité
seventeenth-century  le dix-septième siècle
irreverent  irrévérencieux
cadaver  cadavre
careen  caréner
seamlessly  de façon transparente
geyser  geyser
karaoke  karaoké
congruent  conforme
abhor  abhorrer
paddy  paddy
depleted  appauvri
vegetative  végétatif
etiology  étiologie
provenance  provenance
campaigner  militant
exhilaration  euphorie
leery  méfiant
(amber)  (ambre)
fowl  volaille
ruddy  rouge
transducer  transducteur
catapult  catapulte
achievable  réalisable
intifada  intifada
(archer)  (archer)
slavic  slave
dollop  cuillerée
thank-you  merci
unscrupulous  sans scrupules
slink  slink
underdeveloped  sous-développé
raindrop  goutte de pluie
ethnographer  ethnographe
perplexing  embarrassant
mysticism  mysticisme
malevolent  malveillant
pda  pda
audacity  audace
bulldoze  démolir
assuage  apaiser
lilac  lilas
newsprint  papier journal
smashing  brisant
glut  surabondance
bookseller  libraire
iridescent  iridescent
restate  reformuler
patronizing  condescendant
songbird  oiseau chanteur
sheaf  gerbe
allowable  admissible
selfless  désintéressé
ointment  pommade
autoimmune  auto-immune
hardball  balle dure
round-trip  aller-retour
boob  seins
sportswriter  journaliste sportif
dialectical  dialectique
editor-in-chief  éditeur en chef
atonement  expiation
ruse  ruse
infestation  infestation
disengagement  désengagement
gratuitous  gratuit
elapse  s'écouler
mirrored  en miroir
echelon  échelon
sunburn  coup de soleil
artfully  astucieusement
headmaster  directeur
precariously  précairement
gusto  enthousiasme
phosphate  phosphate
intercontinental  intercontinental
penance  pénitence
one-room  une pièce
goad  aiguillon
(crosstalk)  (diaphonie)
contemptuous  méprisant
distasteful  désagréable
eight-year  huit ans
pique  piquer
mercifully  heureusement
unsuitable  inapproprié
withering  dépérissement
box-office  box-office
politeness  politesse
treasured  précieux
cold-blooded  à sang froid
re-enactment  reconstitution
commensurate  commensurable
resale  revente
sporadically  sporadiquement
free-standing  sur pied
adoring  adorer
repellent  repoussant
micron  micron
craggy  escarpé
flooded  inondé
step-by-step  pas à pas
totalitarianism  totalitarisme
empathize  compatir
nuanced  nuancé
flowered  fleuri
hash  hacher
shelling  bombardement
astray  égaré
godfather  parrain
self-imposed  auto-imposé
exalted  exalté
posse  détachement
arterial  artériel
(levy)  (prélèvement)
layering  superposition
dainty  délicat
redundancy  redondance
(sod)  (gazon)
lackluster  terne
anorexia  anorexie
haggle  marchander
clapboard  bardeau
(deacon)  (diacre)
sleigh  traîneau
bouncer  videur
tirade  tirade
glossary  glossaire
ramble  randonnée
squeaky  grinçant
east-west  est ouest
sweating  transpiration
anomalous  anormal
sentient  sensible
walled  muré
naivete  naïveté
legume  légumineuse
irate  furieux
separating  séparer
unfulfilled  insatisfait
umm  euh
fibrous  fibreux
lasagna  lasagne
ajar  entrouvert
counterattack  contre-attaque
liberated  libéré
outlast  survivre à
maim  mutiler
succulent  succulent
scruffy  miteux
inducement  incitation
overblown  exagéré
begging  mendicité
postpartum  post-partum
bubbling  bouillonnant
resettle  réinstaller
monotonous  monotone
scraping  grattage
humanistic  humaniste
door-to-door  porte à porte
geriatric  gériatrique
slow-moving  mouvement lent
scented  parfumé
forged  forgé
heft  soupeser
chairperson  président
secretion  sécrétion
unwritten  non écrit
numbered  numéroté
moat  fossé
movable  mobile
catechism  catéchisme
sagging  affaissement
tried  essayé
kale  chou frisé
longitude  longitude
unitary  unitaire
ether  éther
six-pack  pack de six
wheelbarrow  brouette
scrawny  maigre
trellis  treillis
depositor  déposant
sender  expéditeur
rhetorically  rhétoriquement
supercomputer  supercalculateur
latte  latté
opine  émettre un avis
dismayed  consterné
classically  classiquement
singularity  singularité
gobbler  gobeur
cob  épi
malaysian  malaisien
fast-moving  rapide
impressionist  impressionniste
(lefty)  (gaucher)
evocation  évocation
enunciate  énoncer
intergenerational  intergénérationnel
pesky  embêtant
marginalization  marginalisation
orchestral  orchestral
sensing  détection
bigot  bigot
robotics  robotique
lined  doublé
progeny  progéniture
pronoun  pronom
capitalization  capitalisation
rioting  émeute
upper-class  classe supérieure
affiliated  affilié
orbiter  orbiteur
next-door  la porte à côté
jittery  nerveux
satchel  cartable
interweave  entremêler
stunted  rabougri
sideshow  attraction
framer  encadreur
interminable  interminable
amputee  amputé
bedspread  couvre-lit
daze  hébéter
thrilled  enchanté
blowout  éteindre
communique  communiqué
clothesline  corde à linge
reprieve  sursis
choppy  agité
cowardice  lâcheté
draconian  draconien
meth  méthamphétamine
topsoil  couche arable
forty-three  quarante trois
rationing  rationnement
strangeness  étrangeté
streamer  banderole
judicious  judicieux
bouncing  rebondir
absurdly  absurdement
likert-type  de type likert
symbiotic  symbiotique
stalker  harceleur
latter-day  dernier jour
merciless  sans merci
candidly  franchement
condor  condor
misbehavior  mauvaise conduite
mid-century  milieu du siècle
epicenter  épicentre
lingo  jargon
deregulate  déréglementer
satirical  satirique
ordained  ordonné
enforcer  exécuteur
old-growth  vieux peuplement
franciscan  franciscain
ablaze  en feu
pita  pita
halter  licou
synonym  synonyme
precipitous  abrupt
white-haired  aux cheveux blancs
constitutionality  constitutionnalité
rote  par cœur
schoolwork  devoirs scolaires
entwine  enlacer
commander-in-chief  commandant en chef
regress  régresser
raze  raser
sanguine  sanguine
collapsing  s'effondrer
ten-year-old  dix ans
antigen  antigène
deprived  privé
improvised  improvisé
meningitis  méningite
lavishly  somptueusement
retake  reprendre
optimization  optimisation
splay  évaser
ice-cream  glace
harmonica  harmonica
councilman  conseiller municipal
graphical  graphique
substandard  de qualité inférieure
bruising  ecchymoses
blinking  clignotant
circumscribe  limiter
sneaky  sournois
hermit  ermite
khakis  kakis
convulsion  convulsion
skateboard  planche à roulette
yardstick  l'indicateur
auditing  audit
flirtation  flirtation
venison  venaison
unbalanced  déséquilibré
mastectomy  mastectomie
tusk  défense
olympian  olympien
test-retest  test-retest
institutionalization  institutionnalisation
hyperactivity  hyperactivité
disclaimer  avertissement
falsehood  mensonge
condiment  condiment
gunpowder  poudre à canon
reschedule  reporter
(feta)  (feta)
fastener  attache
withholding  retenue
loath  dégoût
sunlit  ensoleillé
(eddy)  (tourbillon)
banter  plaisanter
rapt  ravi
illustrative  illustratif
peculiarly  particulièrement
drive-by  conduit par
impel  pousser
operatic  opéra
unsavory  peu recommandable
marginalized  marginalisé
axiom  axiome
centralize  centraliser
malt  malt
parlance  langage
amputate  amputer
digger  excavateur
madam  madame
debatable  discutable
intricately  de manière complexe
snowshoe  raquette
jeez  merde
(app)  (application)
disaffected  mécontent
quid  chique
supremely  suprêmement
officiate  officier
anathema  anathème
uninterested  indifférent
justly  justement
programmatic  programmatique
materialistic  matérialiste
inasmuch  dans la mesure où
sorcerer  sorcier
prohibited  interdit
discerning  discernement
psychedelic  psychédélique
chisel  ciseau
everlasting  éternel
tubular  tubulaire
surreptitiously  subrepticement
halibut  flétan
evaluative  évaluatif
close-knit  unie
cannibalism  cannibalisme
alchemy  alchimie
splitting  scission
apostolic  apostolique
coy  timide
whereupon  après quoi
unbutton  déboutonner
co-chairman  co-président
spilled  déversé
implausible  peu plausible
headboard  tête de lit
red-hot  rouge chaud
(beau)  (beau)
rile  agacer
millisecond  milliseconde
grating  grille
sensuality  sensualité
tailback  bouchon
garish  criard
chameleon  caméléon
crosswise  en croix
distributed  distribué
pompous  pompeux
drowsy  somnolent
necktie  cravate
taper  conicité
exasperate  exaspérer
knitting  tricot
absolve  absoudre
washed  lavé
axial  axial
nullify  annuler
crucify  crucifier
overheated  surchauffé
uterine  utérin
wedlock  mariage
didactic  didactique
docking  amarrage
distil  distiller
caddie  caddie
rafting  rafting
co-host  co-hôte
gendered  sexué
matinee  matinée
paratrooper  parachutiste
regrettably  malheureusement
nape  nuque
physiologist  physiologiste
gawk  rester bouche bée
kink  entortiller
eon  éon
profusely  abondamment
gallant  galant
militiaman  milicien
decorum  décorum
mathematically  mathématiquement
(old)  (vieux)
hah  ah
snowboard  snowboard
importation  importation
bowler  melon
shoddy  de mauvaise qualité
radiance  éclat
campaigning  faire campagne
brownstone  grès brun
pursuer  poursuivant
squabble  querelle
liqueur  liqueur
unmatched  incomparable
swordfish  espadon
dynamism  dynamisme
drug-related  lié à la drogue
unsustainable  insoutenable
suffuse  répandre
retard  retard
ladle  louche
actuator  actionneur
lawless  sans foi ni loi
second-generation  deuxième génération
(tuft)  (touffe)
firewall  pare-feu
gargantuan  gargantuesque
first-generation  première génération
amalgam  amalgame
nominally  nominalement
considerate  prévenant
hyperbole  hyperbole
checkered  à carreaux
thermos  thermos
cognac  cognac
tumbler  verre
velvety  velouté
unconcerned  indifférent
(ebony)  (ébène)
(mister)  (monsieur)
inflexible  inflexible
repentance  repentir
daffodil  jonquille
drawl  traînant
low-wage  bas salaire
(fro)  (de)
ouster  expulsion
uplift  soulèvement
desolation  désolation
sheepishly  timidement
