the  la
sauna  sauna
experimentally  expérimentalement
detest  détester
squawk  brailler
fervently  avec ferveur
elucidate  élucider
risotto  risotto
digging  creusement
virtuoso  virtuose
mutate  subir une mutation
diagonally  en diagonale
weariness  lassitude
all-night  toute la nuit
burdensome  pénible
unattended  sans surveillance
spotless  impeccable
lightness  légèreté
largemouth  grande gueule
invading  envahir
upsetting  bouleversant
downstairs  en bas
rousing  vibrant
incessantly  sans cesse
civil-rights  droits civiques
wandering  errant
earshot  à portée de voix
schoolyard  cour d'école
dissonance  dissonance
paw  patte
darwinian  darwinien
citywide  partout dans la ville
stir-fry  sauté
caress  caresse
macro  macro
self-government  autonomie gouvernementale
dietitian  diététicien
aggravated  aggravé
co-chair  coprésident
irrigate  irriguer
moustache  moustache
confectioner  confiseur
stoic  stoïque
yelp  japper
rapture  ravissement
spool  bobine
goldfish  poisson rouge
indiscriminate  aveugle
universality  universalité
exasperated  exaspéré
sprinter  sprinter
stratosphere  stratosphère
fling  jeter
flounder  patauger
ordered  commandé
beeper  bip
kiln  four
high-stakes  des enjeux élevés
foundational  fondamental
mexican-american  mexicain américain
abatement  réduction
rundown  fatigué
trying  en essayant
audacious  audacieux
spying  espionnage
pine  pin
mutiny  mutinerie
belatedly  tardivement
anti-inflammatory  anti-inflammatoire
galvanized  galvanisé
goblet  gobelet
fourth-quarter  quatrième trimestre
conifer  conifère
lymphoma  lymphome
abrasive  abrasif
interlude  interlude
wimp  mauviette
chum  ami
labour  la main d'oeuvre
litmus  tournesol
despicable  méprisable
preventable  évitable
barometer  baromètre
inflection  inflexion
bind  lier
uncontrollably  incontrôlable
screaming  en hurlant
abandon  abandonner
oil  huile
fuselage  fuselage
maneuvering  manœuvrer
sounding  sondage
mri  irm
talon  talon
deconstruction  déconstruction
slim  svelte
intercollegiate  intercollégial
snippet  fragment
feudal  féodal
heartily  chaleureusement
inanimate  inanimé
vernacular  vernaculaire
geologic  géologique
clueless  aucune idée
frenetic  frénétique
liberalize  libéraliser
student-athlete  étudiant-athlète
daydream  rêve
dummy  factice
methamphetamine  méthamphétamine
coca  coca
hallowed  sanctifié
betrayed  trahi
squeal  hurler
degeneration  dégénérescence
haunt  hanter
reformist  réformiste
(readout)  (lire à haute voix)
interface  interface
down-to-earth  terre à terre
(sultan)  (sultan)
denunciation  dénonciation
backstage  coulisses
topless  aux seins nus
numbness  engourdissement
milling  fraisage
radial  radial
comforter  consolateur
imam  imam
astounded  stupéfait
self-reliance  autonomie
leveraged  à effet de levier
reload  recharger
scowl  mine renfrognée
greenish  verdâtre
mobster  gangster
quagmire  bourbier
dead-end  impasse
bombshell  bombe
antecedent  antécédent
gunpoint  sous la menace d'une arme
electrify  électrifier
abreast  au courant
shh  chut
dupe  dupe
keep  garder
downgrade  rétrograder
putative  putatif
wispy  vaporeux
patently  manifestement
rationalization  rationalisation
modulate  moduler
betting  pari
stumbling  trébuchant
(dominion)  (domination)
norwegian  norvégien
expound  exposer
dogmatic  dogmatique
entryway  entrée
avatar  avatar
popularly  populairement
firefly  luciole
dot-com  point-com
adjourn  ajourner
trifle  bagatelle
foreboding  pressentiment
fixing  fixation
figuratively  métaphoriquement
saffron  safran
mink  vison
oncologist  oncologiste
all-important  de la plus haute importance
amphibian  amphibie
multiplication  multiplication
applicability  applicabilité
functionality  fonctionnalité
intern  interne
worksheet  feuille de travail
ration  ration
collusion  connivence
valiant  vaillant
slugger  cogneur
schoolboy  écolier
tidbit  friandise
able-bodied  valide
alienated  aliéné
reprint  réimpression
refractor  réfracteur
(grandpa)  (grand-père)
thong  lanière
subordination  subordination
aesthetically  esthétiquement
navigator  navigateur
metaphorically  métaphoriquement
glider  planeur
half-mile  demi-mille
barb  barbillon
snort  renifler
epistemology  épistémologie
callous  insensible
concentric  concentrique
fondle  caresser
mackerel  maquereau
landed  a atterri
rusher  précipiter
rump  croupe
illustrious  illustre
outflow  sortie
(cam)  (came)
forgery  falsification
(raider)  (raider)
carelessly  négligemment
kindle  allumer
matte  mat
ethicist  éthicien
silo  silo
swipe  glisser
self-report  auto-déclaration
rout  déroute
matron  matrone
wearer  porteur
sober  sobre
evasive  évasif
picky  difficile
abject  abject
accredit  accréditer
roving  itinérant
anglo-american  anglo-américain
orally  oralement
beret  béret
scrimmage  mêlée
categorically  catégoriquement
(terra)  (terre)
untested  non testé
emissary  émissaire
storied  étagé
well-documented  bien documenté
trove  trésor
cornstarch  fécule de maïs
first-person  première personne
decadent  décadent
rhino  rhinocéros
tinted  teinté
zulu  zoulou
peculiarity  particularité
cupcake  petit gâteau
calibration  étalonnage
suffrage  suffrage
lavish  somptueux
libyan  libyen
posterity  postérité
liquidate  liquider
blanch  blanchir
bullish  haussier
demoralize  démoraliser
rumbling  grondement
umbilical  ombilical
beefy  costaud
whiz  sifflement
envisage  envisager
cappuccino  cappuccino
environs  environs
skinhead  skinhead
fragment  fragment
skit  sketch
monsoon  mousson
illiteracy  analphabétisme
holiness  sainteté
clover  trèfle
exorbitant  exorbitant
oppositional  oppositionnel
foot  le pied
mammoth  mammouth
blue-eyed  aux yeux bleus
liberally  généreusement
obstetrician  obstétricien
rhubarb  rhubarbe
correlate  corrélatif
misrepresentation  fausse déclaration
bottomless  sans fond
geranium  géranium
radicalism  radicalisme
totem  totem
mitten  mitaine
graft  greffer
rudder  gouvernail
lick  lécher
baffling  déconcertant
frugal  frugal
pubic  pubien
word  mot
clot  caillot
stateroom  cabine
crossfire  feux croisés
destitute  dépourvu
intoxicate  enivrer
twinkle  scintillement
unsteady  instable
aztec  aztèque
all-white  tout blanc
(scouting)  (repérage)
armament  armement
mediocrity  médiocrité
otherworldly  d'un autre monde
identified  identifié
anaerobic  anaérobie
syphilis  syphilis
aft  à l'arrière
firestorm  tempête de feu
voracious  vorace
derailleur  dérailleur
user-friendly  convivial
remittance  remise
crescendo  crescendo
skitter  glisser
extricate  dégager
fruition  réalisation
equestrian  équestre
embolden  enhardir
decrepit  délabré
still  toujours
tearful  en larmes
grub  ver
rising  en hausse
laughable  ridicule
turn-of-the-century  tournant du siècle
butcher  boucher
jackpot  cagnotte
well-intentioned  bien intentionné
paneling  lambris
transcendental  transcendantal
circular  circulaire
dandy  dandy
deductible  déductible
seclusion  isolement
inverse  inverse
typology  typologie
moviegoer  amateur de cinéma
repent  se repentir
massively  massivement
expectant  dans l'attente
outrun  dépasser
quartz  quartz
big-city  grande ville
(panther)  (panthère)
enraged  furieux
leasing  location
eraser  la gomme
turtleneck  col roulé
released  publié
peddler  colporteur
redress  redresser
tangy  piquant
drive-in  drive-in
heave  houle
opulent  opulent
downstream  en aval
abstract  abstrait
dimple  fossette
chastity  chasteté
southward  vers le sud
immobile  immobile
thunderous  tonitruant
woodpecker  pivert
amends  amende
croak  crever
peep  piaulement
motorcade  cortège
surmount  surmonter
mandated  mandaté
intergovernmental  intergouvernemental
projecting  en saillie
clenched  serré
sobriety  sobriété
cross-legged  en tailleur
immobilize  immobiliser
notch  entailler
televise  téléviser
grandkid  petit-fils
heterogeneity  hétérogénéité
spotty  à pois
synthesizer  synthétiseur
executioner  bourreau
upload  télécharger
cuff  manchette
lowering  abaissement
amish  amish
unbridled  débridé
woolen  de laine
hesitantly  avec hésitation
feces  matières fécales
truckload  chargement complet
brooch  broche
summons  assignation
outgrowth  excroissance
keg  tonnelet
paucity  manque
artistically  artistiquement
sand  sable
hairdo  coiffure
(turbo)  (turbo)
revered  vénéré
californian  californien
ugliness  la laideur
standby  etre prêt
pop-up  apparaitre
meddle  se mêler
dud  raté
duplication  reproduction
foodborne  d'origine alimentaire
voodoo  vaudou
hound  chien
break-in  roder
four-hour  quatre heures
do-it-yourself  fais le toi-même
lacy  de dentelle
script  scénario
carp  carpe
spruce  épicéa
eloquence  éloquence
bewilderment  perplexité
seventeenth-century  le dix-septième siècle
irreverent  irrévérencieux
cadaver  cadavre
careen  caréner
seamlessly  de façon transparente
geyser  geyser
karaoke  karaoké
forage  fourrage
congruent  conforme
abhor  abhorrer
paddy  paddy
depleted  appauvri
vegetative  végétatif
etiology  étiologie
tar  le goudron
provenance  provenance
campaigner  militant
exhilaration  euphorie
leery  méfiant
(amber)  (ambre)
fowl  volaille
ruddy  rouge
transducer  transducteur
catapult  catapulte
achievable  réalisable
clamor  clameur
intifada  intifada
(archer)  (archer)
slavic  slave
dollop  cuillerée
thank-you  merci
unscrupulous  sans scrupules
slink  slink
underdeveloped  sous-développé
raindrop  goutte de pluie
ethnographer  ethnographe
perplexing  embarrassant
mysticism  mysticisme
malevolent  malveillant
pda  pda
grazing  pâturage
audacity  audace
bulldoze  démolir
assuage  apaiser
lilac  lilas
newsprint  papier journal
smashing  brisant
glut  surabondance
contraceptive  contraceptif
bookseller  libraire
iridescent  iridescent
restate  reformuler
patronizing  condescendant
songbird  oiseau chanteur
sheaf  gerbe
allowable  admissible
selfless  désintéressé
ointment  pommade
autoimmune  auto-immune
hardball  balle dure
round-trip  aller-retour
boob  seins
sportswriter  journaliste sportif
dialectical  dialectique
editor-in-chief  éditeur en chef
atonement  expiation
ruse  ruse
infestation  infestation
disengagement  désengagement
gratuitous  gratuit
elapse  s'écouler
mirrored  en miroir
echelon  échelon
sunburn  coup de soleil
artfully  astucieusement
headmaster  directeur
precariously  précairement
gusto  enthousiasme
phosphate  phosphate
intercontinental  intercontinental
penance  pénitence
one-room  une pièce
earmark  affecter
goad  aiguillon
(crosstalk)  (diaphonie)
contemptuous  méprisant
distasteful  désagréable
eight-year  huit ans
pique  piquer
mercifully  heureusement
unsuitable  inapproprié
withering  dépérissement
box-office  box-office
politeness  politesse
treasured  précieux
cold-blooded  à sang froid
re-enactment  reconstitution
commensurate  commensurable
resale  revente
sporadically  sporadiquement
free-standing  sur pied
adoring  adorer
repellent  repoussant
micron  micron
craggy  escarpé
flooded  inondé
step-by-step  pas à pas
totalitarianism  totalitarisme
empathize  compatir
nuanced  nuancé
flowered  fleuri
hash  hacher
shelling  bombardement
astray  égaré
godfather  parrain
self-imposed  auto-imposé
exalted  exalté
posse  détachement
arterial  artériel
(levy)  (prélèvement)
layering  superposition
dainty  délicat
redundancy  redondance
(sod)  (gazon)
lackluster  terne
anorexia  anorexie
haggle  marchander
clapboard  bardeau
strut  se pavaner
(deacon)  (diacre)
sleigh  traîneau
silhouette  silhouette
bouncer  videur
tirade  tirade
glossary  glossaire
ramble  randonnée
vomit  vomir
squeaky  grinçant
east-west  est ouest
sweating  transpiration
anomalous  anormal
reprimand  réprimande
sentient  sensible
walled  muré
naivete  naïveté
legume  légumineuse
irate  furieux
separating  séparer
shepherd  berger
unfulfilled  insatisfait
playing  en jouant
umm  euh
fibrous  fibreux
lasagna  lasagne
ajar  entrouvert
counterattack  contre-attaque
liberated  libéré
outlast  survivre à
maim  mutiler
succulent  succulent
scruffy  miteux
inducement  incitation
overblown  exagéré
begging  mendicité
postpartum  post-partum
bubbling  bouillonnant
resettle  réinstaller
monotonous  monotone
scraping  grattage
humanistic  humaniste
door-to-door  porte à porte
geriatric  gériatrique
slow-moving  mouvement lent
scented  parfumé
forged  forgé
heft  soupeser
chairperson  président
secretion  sécrétion
unwritten  non écrit
numbered  numéroté
moat  fossé
tidy  bien rangé
movable  mobile
catechism  catéchisme
sagging  affaissement
tried  essayé
kale  chou frisé
longitude  longitude
unitary  unitaire
ether  éther
six-pack  pack de six
wheelbarrow  brouette
scrawny  maigre
trellis  treillis
depositor  déposant
sender  expéditeur
rhetorically  rhétoriquement
supercomputer  supercalculateur
latte  latté
opine  émettre un avis
dismayed  consterné
classically  classiquement
singularity  singularité
gobbler  gobeur
cob  épi
malaysian  malaisien
fast-moving  rapide
impressionist  impressionniste
(lefty)  (gaucher)
tint  teinte
radio  radio
evocation  évocation
enunciate  énoncer
dirty  sale
intergenerational  intergénérationnel
pesky  embêtant
marginalization  marginalisation
orchestral  orchestral
sensing  détection
bigot  bigot
robotics  robotique
lined  doublé
progeny  progéniture
pronoun  pronom
capitalization  capitalisation
rioting  émeute
upper-class  classe supérieure
affiliated  affilié
orbiter  orbiteur
next-door  la porte à côté
jittery  nerveux
satchel  cartable
interweave  entremêler
stunted  rabougri
sideshow  attraction
framer  encadreur
interminable  interminable
amputee  amputé
